ds,y
2016-11-14 ,1.917726253
2016-11-15 ,1.958863126
2016-11-16 ,1.801795064
2016-11-17 ,1.693343306
2016-11-18 ,1.370231862
2016-11-19 ,0.459237098
2016-11-20 ,0.459237098
2016-11-21 ,1.603590127
2016-11-22 ,1.565445026
2016-11-23 ,1.023186238
2016-11-24 ,0.2288706058
2016-11-25 ,0.50710546
2016-11-26 ,0.4195961107
2016-11-27 ,0.4091249065
2016-11-28 ,1.655946148
2016-11-29 ,1.940912491
2016-11-30 ,1.796559461
2016-12-01 ,1.655946148
2016-12-02 ,1.382198953
2016-12-03 ,0.4704562453
2016-12-04 ,0.421091997
2016-12-05 ,1.715781601
2016-12-06 ,1.717277487
2016-12-07 ,1.644727001
2016-12-08 ,1.544502618
2016-12-09 ,1.277486911
2016-12-10 ,0.4263275991
2016-12-11 ,0.4540014959
2016-12-12 ,1.647718773
2016-12-13 ,1.591623037
2016-12-14 ,1.532535527
2016-12-15 ,1.208676141
2016-12-16 ,1.091249065
2016-12-17 ,0.3537771129
2016-12-18 ,0.3784592371
2016-12-19 ,1.425579656
2016-12-20 ,1.40762902
2016-12-21 ,1.268511593
2016-12-22 ,1.08526552
2016-12-23 ,0.4794315632
2016-12-24 ,0.1465968586
2016-12-25 ,0.1563201197
2016-12-26 ,0.6080777861
2016-12-27 ,1.374719521
2016-12-28 ,1.486163052
2016-12-29 ,1.333582648
2016-12-30 ,0.9237097981
2016-12-31 ,0.3148840688
2017-01-01 ,0.363500374
2017-01-02 ,1.100224383
2017-01-03 ,1.696335079
2017-01-04 ,2.030665669
2017-01-05 ,1.896035901
2017-01-06 ,1.558713538
2017-01-07 ,0.5617053104
2017-01-08 ,0.5871353777
2017-01-09 ,1.95736724
2017-01-10 ,2.002243829
2017-01-11 ,2.093492895
2017-01-12 ,1.858638743
2017-01-13 ,1.563201197
2017-01-14 ,0.5340314136
2017-01-15 ,0.5370231862
2017-01-16 ,1.822737472
2017-01-17 ,2.047120419
2017-01-18 ,2.050860135
2017-01-19 ,1.955123411
2017-01-20 ,1.537771129
2017-01-21 ,0.5624532536
2017-01-22 ,0.569184742
2017-01-23 ,2.190725505
2017-01-24 ,2.1421092
2017-01-25 ,2.044128646
2017-01-26 ,1.940912491
2017-01-27 ,1.583395662
